i,j,x,y
21,14,0.7389870094022312,-1.686024306738176
21,15,0.771277070989105,-1.932688798329778
21,16,0.8084480669370213,-2.2130284524188273
21,17,0.8511548610033385,-2.5319927713797723
21,18,0.900153516441855,-2.8952293020342985
21,19,0.9563143246571522,-3.309190159175329
21,20,1.020636877390803,-3.7812555646430037
21,21,1.094267245834543,-4.319877847049189
21,22,1.1785172986534056,-4.934750302249754
21,23,1.2748861059235348,-5.637006643435596
21,24,1.3850832191256028,-6.43945864923615
22,0,0.5846105239683563,-0.0467308408259488
22,1,0.56205873397224,-0.11487903689846586
22,2,0.5520981876567074,-0.1842222412833788
22,3,0.5477099104037705,-0.2563630404143433
22,4,0.5463793721862196,-0.3327296253298163
22,5,0.5470677419178421,-0.4147280021388678
22,6,0.54930552447281,-0.5038214325376731
22,7,0.5528811983136356,-0.6015769510489796
22,8,0.5577177864771208,-0.7097020839724912
22,9,0.5638183602338142,-0.8300800010876024
22,10,0.5712403843640541,-0.9648060701429866
22,11,0.5800834759379715,-1.1162272494935928
22,12,0.5904839925219687,-1.2869853957254465
22,13,0.6026134283857131,-1.480065538331967
22,14,0.6166791665944295,-1.6988502386935174
22,15,0.6329268751170727,-1.947181255475212
22,16,0.6516442050330794,-2.2294298865266504
22,17,0.6731656444788342,-2.550577563086066
22,18,0.6978784914189514,-2.916308553286281
22,19,0.726229972515138,-3.33311701175747
22,20,0.7587355728485983,-3.8084311241113844
22,21,0.7959886591526317,-4.350757789815772
22,22,0.8386714777803058,-4.9698522405513135
22,23,0.8875675824565794,-5.676918316824122
22,24,0.943575686870363,-6.4848469997385045
23,0,0.5,-0.05286150200057158
23,1,0.4961942829940796,-0.11942541233380773
23,2,0.49474409404064296,-0.18787911360541817
23,3,0.4940892364164799,-0.2595131798202772
23,4,0.49376320828765335,-0.33559414780009084
23,5,0.4935890522206718,-0.417449599070818
23,6,0.4934913628890959,-0.5065020412778113
23,7,0.49343634120276186,-0.6042960067658469
23,8,0.49340866759645535,-0.7125263338598363
23,9,0.4934016808854227,-0.8330693266465675
23,10,0.4934130635260045,-0.9680172745955494
23,11,0.4934429774118593,-1.119716750273586
23,12,0.4934933384522898,-1.2908113067722766
23,13,0.4935676470811424,-1.4842894082863207
23,14,0.4936711199054142,-1.7035386005163344
23,15,0.4938110218893029,-1.9524070844569854
23,16,0.49399717403055976,-2.235274030947663
23,17,0.4942426517085664,-2.5571301921308285
23,18,0.49456471432957233,-2.9236706536990007
23,19,0.4949860276156707,-3.3414019546440223
23,20,0.49553626096928827,-3.8177663141480975
23,21,0.49625416651154214,-4.361286399422567
23,22,0.49719027507940394,-4.981735020005353
23,23,0.4984103778162944,-5.690335456394679
23,24,0.5000000000000004,-6.5
24,0,0.41538947603164367,-0.05738384646000587
24,1,0.4305605512639757,-0.1219403267295239
24,2,0.43746431677371106,-0.1893504990140413
24,3,0.44046057372084735,-0.26031837300284255
24,4,0.4411006416353476,-0.3359151366725861
24,5,0.44004534145715907,-0.4173817062660945
24,6,0.43760294866719324,-0.5060946752003417
24,7,0.433912780050357,-0.6035710464533232
24,8,0.429018951317116,-0.7114873256619405
24,9,0.42290392069733324,-0.8317063262953494
24,10,0.41550497576063294,-0.966309405435037
24,11,0.4067225012032148,-1.1176334606609502
