i,j,x,y
25,0,0.34488070605801335,-0.09928050398161611
25,1,0.36965300751601293,-0.2611380513513113
25,2,0.3819296198630711,-0.4464046763005983
25,3,0.3805840965189342,-0.6578273051072473
25,4,0.3674767387162916,-0.8990976202418582
25,5,0.34428962920560074,-1.1749714517506573
25,6,0.31157875362262416,-1.4910318599088417
25,7,0.2690978169465492,-1.853623363839266
25,8,0.2161528805050356,-2.2699434592409364
25,9,0.15178302715049094,-2.7481889533994885
25,10,0.07483853326568589,-3.2977174160397977
25,11,-0.01598349979841733,-3.929209939830217
25,12,-0.12211241636299003,-4.654811367298343
25,13,-0.2450474818505837,-5.488145487589944
25,14,-0.3850832191256034,-6.43945864923615
26,0,0.2861233977466548,-0.09994254812341945
26,1,0.30875234299523796,-0.2607548888954427
26,2,0.3175481789508098,-0.4446552496725518
26,3,0.3104463036530814,-0.6545091158520853
26,4,0.2884177791789041,-0.8939096572060707
26,5,0.25263170043316907,-1.1674161833424441
26,6,0.2033846448032977,-1.4804374812378214
26,7,0.140156251049651,-1.8391753877154768
26,8,0.061870542525870154,-2.2506968282994126
26,9,-0.03293107130844261,-2.723067516718891
26,10,-0.1460042113060009,-3.2655081643224992
26,11,-0.279360729504922,-3.888556081069856
26,12,-0.43523769600927364,-4.604207310389095
26,13,-0.6160248127656531,-5.425940025035716
26,14,-0.8224640848421201,-6.364046569935099
27,0,0.23715897415385598,-0.09839419574061892
27,1,0.2554093530710559,-0.25805980451882193
27,2,0.2580053571856345,-0.440279158451279
27,3,0.24296407544399912,-0.6480253046358453
27,4,0.21065660738277,-0.8848111894238293
27,5,0.16156964865207324,-1.155001893362862
27,6,0.09550918434540093,-1.4638021530795944
27,7,0.011539746501756015,-1.817228237426977
27,8,-0.09186161762862588,-2.2221705019876032
27,9,-0.21667461193129,-2.68651559001037
27,10,-0.365263394457432,-3.219296227045637
27,11,-0.5403407268196955,-3.8308505029771287
27,12,-0.7449377885434751,-4.532965256921121
27,13,-0.9823190574976546,-5.338907932549804
27,14,-1.2536790125206567,-6.258962367760696
28,0,0.19635528782652362,-0.0952637736823616
28,1,0.2087276647982587,-0.2535158589052702
28,2,0.203265733279008,-0.43359645816903153
28,3,0.17866775362413412,-0.6385876377626681
28,4,0.13493046879037518,-0.8719233693970889
28,5,0.07186943506832445,-1.1377732640952583
28,6,-0.01129140899034925,-1.4411141697143357
28,7,-0.11598656826186288,-1.787737787810251
28,8,-0.2442334979981077,-2.184313076335546
28,9,-0.3985516579123112,-2.6385000666268517
28,10,-0.5819144300354492,-3.159093179610496
28,11,-0.7977255324521655,-3.756177324643388
28,12,-1.049794182011822,-4.441271787580559
28,13,-1.342241110173652,-5.227370526175447
28,14,-1.6767174791114101,-6.124695993772333
29,0,0.16235221588708,-0.09105047752921891
29,1,0.16771608657645248,-0.2474990460795014
29,2,0.1529530505034894,-0.42488439209681705
29,3,0.11769256432664722,-0.626400356252962
29,4,0.061670120135516815,-0.8553881181686563
29,5,-0.015898447723443246,-1.1158155396708733
29,6,-0.11637411278097437,-1.412413381993372
29,7,-0.24171892559980993,-1.7507167510284434
29,8,-0.39446584632882614,-2.137133182251407
29,9,-0.5776805010609121,-2.5790517017126335
29,10,-0.7949397104376353,-3.0849806445493635
29,11,-1.050323803081548,-3.6647003237177382
29,12,-1.3484002612203119,-4.329406873359573
29,13,-1.694124192738719,-5.09176086650712
29,14,-2.0896070840005696,-5.961873459785445
30,0,0.1340163226042103,-0.08613982635588223
30,1,0.13146119600949718,-0.24029585511382093
30,2,0.10659455241039215,-0.4143621737018443
30,3,0.059969533748761746,-0.611634297500078
30,4,-0.008903828267564064,-0.8353357672347339
30,5,-0.10132911035245053,-1.0892221363108492
30,6,-0.21921105042541478,-1.377763623670737
30,7,-0.36502863217795317,-1.7062135626881871
30,8,-0.5418267492876669,-2.080684359034013
30,9,-0.7532094526197053,-2.508254702062182
30,10,-1.0033426290407825,-2.99710327009156
30,11,-1.2969629836970749,-3.5566581907159187
30,12,-1.6393719359431769,-4.197740532241203
30,13,-2.036333390566678,-4.932621102907789
30,14,-2.4904227452524887,-5.771253919615439
31,0,0.11040307820181888,-0.08082164312743188
31,1,0.09917992265667733,-0.23211463450896322
31,2,0.06372614463873612,-0.40219255955000865
31,3,0.005338522296725463,-0.5944192844618508
31,4,-0.0767004672023748,-0.8118699930122989
31,5,-0.1841409863292061,-1.058075163899373
31,6,-0.3193735366732347,-1.337232510190595
31,7,-0.48536057440063163,-1.654294105452908
